Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-12-15;2613.6;2642.0;2613.6;2642.0;12746.96
2022-12-16;2682.0;2702.0;2682.0;2696.0;25594.8
2022-12-19;2944.0;2944.0;2944.0;2944.0;14720.0
2022-12-20;2842.0;2842.0;2802.0;2802.0;11268.0
2022-12-21;2809.6;2809.6;2658.0;2658.0;10798.5504
2022-12-23;2930.0;2930.0;2930.0;2930.0;38090.0
2023-01-04;2750.0;2750.0;2682.0;2682.0;23524.752
2023-01-05;3012.8;3012.8;3012.8;3012.8;26018.5408
2023-01-11;2334.0;2352.0;2334.0;2352.0;19506.033
2023-01-12;2110.0;2110.0;2102.0;2102.0;3537.054
2023-01-13;2142.4;2142.4;2142.4;2142.4;5406.3464
2023-01-16;1985.2;1985.2;1985.2;1985.2;2481.5
2023-01-18;1876.0;1914.0;1876.0;1914.0;28310.16
2023-01-25;1706.6;1710.8;1706.6;1710.8;854.35
2023-01-30;1582.0;1650.0;1578.0;1630.0;27889.822
2023-01-31;1822.0;1822.0;1590.0;1590.0;40602.9038
2023-02-01;1186.0;1186.0;1186.0;1186.0;13502.017
2023-02-06;922.0;922.0;922.0;922.0;1383.0
2023-02-07;992.0;992.0;947.4;948.0;68892.2941
2023-02-20;1140.0;1140.0;1140.0;1140.0;1710.0
2023-03-08;916.4;916.4;916.4;916.4;9164.0
2023-03-09;912.0;912.0;912.0;912.0;11400.0
2023-03-10;924.4;924.4;924.4;924.4;11555.0
2023-03-16;575.8;575.8;575.8;575.8;3454.8
2023-03-17;530.0;544.0;530.0;544.0;1820.14
2023-03-20;536.0;582.0;536.0;582.0;2745.0
2023-03-21;554.0;586.0;526.0;581.6;3257.728
2023-03-22;522.0;522.0;522.0;522.0;495.9
2023-03-23;502.4;502.4;497.0;497.0;33133.3287
2023-03-28;603.0;603.0;603.0;603.0;199.8945
2023-03-30;549.4;549.4;506.0;506.0;420.3199
2023-04-03;532.0;534.0;532.0;534.0;2800.5
2023-04-06;627.0;627.0;627.0;627.0;940.5
2023-04-11;578.0;578.0;578.0;578.0;13.872
2023-04-18;646.0;646.0;646.0;646.0;484.5
2023-04-20;668.0;668.0;668.0;668.0;334.0
2023-04-26;722.0;722.0;708.0;708.0;660.85
2023-04-27;758.4;776.0;730.0;734.0;3441.576
2023-04-28;690.0;690.0;690.0;690.0;690.0
2023-05-02;646.0;646.0;646.0;646.0;2648.6
2023-05-05;627.8;627.8;627.8;627.8;313.9
2023-05-08;586.0;586.0;558.0;558.0;1012.5
2023-05-09;488.0;488.0;488.0;488.0;244.0
2023-05-10;494.0;494.0;424.0;424.0;5510.63
2023-05-15;492.0;492.0;492.0;492.0;1254.6
2023-05-16;401.2;402.0;398.2;398.2;1664.55
2023-05-18;358.0;358.0;358.0;358.0;268.5
2023-05-19;348.2;356.2;348.2;356.2;2854.5308
2023-05-22;372.0;372.0;372.0;372.0;372.0
2023-05-23;338.0;338.0;308.0;317.0;2543.0
2023-05-24;348.0;348.0;348.0;348.0;696.0
